"Time (s)","Sound pressure level (dB)"
7.623979129E2,6.057553457E1
7.625044206E2,5.816925126E1
7.626086171E2,5.679089858E1
7.627133527E2,5.614638571E1
7.628151806E2,5.579481363E1
7.629216354E2,5.869658671E1
7.630241512E2,5.823353357E1
7.631258111E2,5.818781062E1
7.632305371E2,5.732191214E1
7.633362892E2,5.720699199E1
7.634412553E2,5.897094925E1
7.635428793E2,5.996180712E1
7.636493525E2,5.754458259E1
7.637549657E2,5.811917958E1
7.638597993E2,5.767372890E1
7.639663183E2,5.774196130E1
7.640728037E2,5.975570887E1
7.641765444E2,5.784659077E1
7.642797585E2,5.938592553E1
7.643862145E2,5.916653901E1
7.644906270E2,5.778244936E1
7.645943642E2,5.812859461E1
7.647009590E2,5.717641115E1
7.648074162E2,5.840380333E1
7.649096964E2,5.710765851E1
7.650113110E2,5.798341360E1
7.651177778E2,5.851676418E1
7.652242261E2,5.867201296E1
7.653268821E2,5.836340780E1
7.654284642E2,5.943789640E1
7.655349808E2,5.799262275E1
7.656414715E2,5.858341764E1
7.657440520E2,5.820562109E1
7.658458787E2,5.997268859E1
7.659505622E2,5.930177907E1
7.660571429E2,5.959114677E1
7.661627474E2,5.920056195E1
7.662692585E2,5.698631347E1
7.663757704E2,5.796836796E1
7.664783078E2,5.870032223E1
7.665799902E2,5.839982671E1
7.666865570E2,5.891850147E1
7.667932532E2,5.878553308E1
7.668969316E2,5.902927519E1
7.670035480E2,5.947349438E1
7.671100532E2,6.002124014E1
7.672139919E2,5.949131063E1
7.673204942E2,6.012894353E1
7.674222563E2,5.944866099E1
7.675277023E2,5.982861433E1
7.676314111E2,5.808229099E1
7.677378727E2,6.021172778E1
7.678417503E2,5.997553332E1
7.679467335E2,5.899594309E1
7.680505900E2,5.814429844E1
7.681537388E2,5.744101912E1
7.682598709E2,5.891521598E1
7.683620267E2,5.976482726E1
7.684641142E2,5.934126502E1
7.685663596E2,5.955969423E1
7.686705607E2,5.987644147E1
7.687766009E2,5.878274143E1
7.688813070E2,5.822729454E1
7.689830040E2,5.815869039E1
7.690896131E2,5.889723401E1
7.691929972E2,5.821178036E1
7.692965667E2,5.719099713E1
7.693986657E2,5.929536549E1
7.695002787E2,5.853815939E1
7.696067663E2,5.788447843E1
7.697110730E2,5.931367976E1
7.698158425E2,6.001846784E1
7.699174444E2,5.879840725E1
7.700240216E2,5.757997105E1
7.701301992E2,5.720673039E1
7.702329780E2,5.735402118E1
7.703346190E2,5.704539768E1
7.704411583E2,5.837663386E1
